2019-10-22,1519583,4.6456083202163334e+32,3843,394205
2019-10-23,1533124,7.476381903409996e+32,3870,396898
2019-10-24,1544363,1.2032070401284612e+33,3879,399349
2019-10-25,1555379,1.936374037760684e+33,3908,401916
2019-10-26,1570442,3.116291950646576e+33,3947,404825
2019-10-27,1575403,5.015185771079242e+33,3958,407079
2019-10-28,1577827,8.07115915863309e+33,3963,409042
2019-10-29,1592898,1.2989271611760905e+34,3986,411937
2019-10-30,1611449,2.0904206408026265e+34,4007,414913
2019-10-31,1624701,3.364205927865157e+34,4036,417694
2019-11-01,1642059,5.414164644268682e+34,4063,420515
2019-11-02,1655551,8.713253416639227e+34,4101,423318
2019-11-03,1666458,1.4022622157038255e+35,4135,425759
2019-11-04,1667589,2.256722291395302e+35,4137,427501
2019-11-05,1670113,3.631842492400239e+35,4142,429303
2019-11-06,1671780,5.844883945134693e+35,4142,430995
2019-11-07,1677438,9.406428941668012e+35,4153,433043
2019-11-08,1696865,1.5138180033206903e+36,4171,436010
2019-11-09,1712351,2.4362539295082064e+36,4204,439003
2019-11-10,1713546,3.9207706580477385e+36,4209,440854
2019-11-11,1730191,6.309868756624746e+36,4233,443561
2019-11-12,1743774,1.0154749460825093e+37,4256,446242
2019-11-13,1750735,1.6342485175125506e+37,4262,448428
2019-11-14,1766481,2.6300680556376464e+37,4298,451203
2019-11-15,1775941,4.232684260172485e+37,4308,453508
2019-11-16,1794804,6.811845042530029e+37,4335,456674
2019-11-17,1799438,1.0962601987597831e+38,4341,458810
2019-11-18,1818830,1.7642597796653287e+38,4367,461902
2019-11-19,1824606,2.8393009010690195e+38,4376,463984
2019-11-20,1835737,4.569411885782828e+38,4401,466410
2019-11-21,1843233,7.353755628391506e+38,4413,468592
2019-11-22,1855679,1.1834722540630677e+39,4429,471158
2019-11-23,1867762,1.9046139781007032e+39,4447,473833
2019-11-24,1886758,3.0651790890091046e+39,4483,477157
2019-11-25,1892032,4.932927593583965e+39,4491,479180
2019-11-26,1897846,7.938777453753473e+39,4501,481300
2019-11-27,1908277,1.2776223908536012e+40,4515,483758
2019-11-28,1914524,2.056133936389296e+40,4523,486038
2019-11-29,1941275,3.30902682563911e+40,4554,489421
2019-11-30,1966286,5.325362486856061e+40,4587,493042
2019-12-01,1976291,8.570340196905591e+40,4593,495532
2019-12-02,1987313,1.3792625623511112e+41,4612,498003
2019-12-03,2001927,2.219707937136756e+41,4637,500682
2019-12-04,2007109,3.572273663245888e+41,4641,502717
2019-12-05,2012558,5.7490172070029314e+41,4655,504819
2019-12-06,2026290,9.252146381300574e+41,4682,507616
2019-12-07,2044845,1.4889886319480912e+42,4714,510911
2019-12-08,2047904,2.3962949295220644e+42,4722,513025
2019-12-09,2068943,3.856462880942492e+42,4755,516137
2019-12-10,2076562,6.206375421014438e+42,4771,518352
2019-12-11,2082650,9.988193081520948e+42,4778,520554
2019-12-12,2097668,1.6074438664465515e+43,4808,523477
2019-12-13,2114212,2.5869301511171635e+43,4832,526373
2019-12-14,2134378,4.163260532109903e+43,4889,529690
2019-12-15,2144380,6.700118381912594e+43,4897,532393
2019-12-16,2162346,1.0782795356045707e+44,4913,535423
2019-12-17,2170432,1.7353227071962748e+44,4924,537818
2019-12-18,2186580,2.7927311969457016e+44,4984,540765
2019-12-19,2204057,4.4944652116003345e+44,5009,543652
2019-12-20,2217602,7.233140647541666e+44,5041,546512
2019-12-21,2236239,1.1640611544190946e+45,5062,549960
2019-12-22,2247008,1.873374841242792e+45,5106,552619
2019-12-23,2277388,3.014904571360626e+45,5137,556629
2019-12-24,2284016,4.852018599962168e+45,5175,559227
2019-12-25,2296630,7.808567049853355e+45,5197,562055
2019-12-26,2300994,1.2566670575527255e+46,5211,564317
2019-12-27,2317311,2.0224095963521024e+46,5239,567212
2019-12-28,2348483,3.254752761150871e+46,5393,571028
2019-12-29,2349887,5.238016846501801e+46,5396,572916
2019-12-30,2364897,8.429771014169165e+46,5410,575821
2019-12-31,2372579,1.356640145187479e+47,5415,578238
2020-01-01,2387476,2.183300685677878e+47,5443,581360
2020-01-02,2389761,3.5136818713430826e+47,5449,583400
2020-01-03,2402020,5.654722857915384e+47,5471,586230
2020-01-04,2413865,9.100394335816219e+47,5511,588908
2020-01-05,2415595,1.4645665074713586e+48,5516,590896
2020-01-06,2433442,2.3569913298866634e+48,5570,593901
2020-01-07,2445724,3.793209868463106e+48,5589,596478
2020-01-08,2458090,6.104579564532282e+48,5606,599182
2020-01-09,2468490,9.824368530076656e+48,5624,601569
2020-01-10,2479298,1.5810788604596646e+49,5642,604091
2020-01-11,2495114,2.5444997867694265e+49,5702,606928
2020-01-12,2496624,4.0949754795831887e+49,5708,608824
2020-01-13,2501408,6.590224241943352e+49,5729,610846
2020-01-14,2512897,1.0605937880614248e+50,5751,613305
2020-01-15,2529914,1.706860255399715e+50,5788,616307
2020-01-16,2535031,2.7469253207566886e+50,5797,618315
2020-01-17,2545539,4.4207477993253736e+50,5815,620847
2020-01-18,2560080,7.114503971974262e+50,5832,623708
2020-01-19,2584257,1.1449684321499139e+51,5982,627109
2020-01-20,2594273,1.8426480831045837e+51,5991,629481
2020-01-21,2599611,2.965454647333398e+51,5997,631645
2020-01-22,2612323,4.772436661141947e+51,6012,634238
2020-01-23,2626760,7.680492333643514e+51,6023,636844
2020-01-24,2640209,1.2360554298701094e+52,6035,639461
2020-01-25,2662381,1.989238396891413e+52,6081,642878
2020-01-26,2667013,3.2013688901337914e+52,6090,645082
2020-01-27,2685446,5.152103833674348e+52,6119,648120
